## 天气怎么样 What's the weather | 2600
What's the weather like? | 天气怎么样？
It is sunny today. | 今天天气晴朗。
It is raining. | 正在下雨。
## 温度 Temperature | 1f321
It is hot today. | 今天很热。
It is cold and windy. | 天气又冷又有风。
I am warm in my coat. | 穿上外套我很暖和。
## 喜欢 Like | 2764
I like sunny days. | 我喜欢晴天。
I don't like the rain. | 我不喜欢下雨天。
Do you like snow? | 你喜欢雪吗？
## 穿什么 Wear | 1f9ca
Put on your coat. | 穿上你的外套。
I have my red boots. | 我有我的红色靴子。
Wear your hat, please. | 请戴上你的帽子。
## 正在做 What's happening | 1f327
It is snowing. | 正在下雪。
The wind is blowing. | 风在吹。
We are playing in the rain. | 我们在雨里玩。
## 我会 I can | 1f3ca
I can see a rainbow. | 我能看到一道彩虹。
I can make a snowman. | 我能堆一个雪人。
I can fly my kite. | 我能放我的风筝。
