moon	Look at the moon.
full moon	I can see the full moon.
lantern	I have a red lantern.
rabbit	I can see a rabbit on the moon.
star	I can see a star.
night	It is a beautiful night.
mooncake	I eat a mooncake.
tea	I drink tea with grandma.
tangerine	I eat a tangerine.
grapes	I like grapes.
family	I am with my family.
grandma	I share with grandma.
grandpa	Grandpa is here.
share	I share my mooncake.
round	The moon is round.
bright	The lantern is bright.
sweet	The mooncake is sweet.
happy	I am happy tonight.
