## 看月亮 Look at the moon | 1f319
Look at the moon. | 看月亮。
The moon is big and round. | 月亮又大又圆。
I can see the full moon. | 我能看见满月。
## 吃月饼 Mooncakes | 1f96e
I eat a mooncake. | 我吃一个月饼。
The mooncake is sweet. | 月饼很甜。
I like mooncakes very much. | 我非常喜欢月饼。
## 家人团聚 Family time | 1f46a
I am with my family. | 我和家人在一起。
We sit together at night. | 我们晚上坐在一起。
I share a mooncake with grandma. | 我和奶奶分享一个月饼。
## 灯笼 Lanterns | 1f3ee
I have a red lantern. | 我有一个红灯笼。
The lantern is bright. | 灯笼很亮。
We light the lanterns. | 我们点亮灯笼。
## 玉兔的故事 The moon rabbit | 1f430
I can see a rabbit on the moon. | 我能看见月亮上的兔子。
This is the story of Chang'e. | 这是嫦娥的故事。
The rabbit lives on the moon. | 兔子住在月亮上。
## 我的感受 Feelings | 1f60a
I am happy tonight. | 今晚我很开心。
It is a happy festival. | 这是一个快乐的节日。
I love the Mid-Autumn Festival. | 我爱中秋节。
