## 存在句 There is/are | 1f3e0
There is a bed in the bedroom. | 卧室里有一张床。
There are two chairs in the kitchen. | 厨房里有两把椅子。
There is a sofa in the living room. | 客厅里有一张沙发。
## 方位介词 Prepositions | 1f4e6
The cat is under the table. | 猫在桌子下面。
The book is on the bed. | 书在床上。
The teddy is next to the sofa. | 泰迪熊在沙发旁边。
## 现在进行时 Present continuous | 1f373
Mum is cooking in the kitchen. | 妈妈正在厨房做饭。
Dad is reading a book. | 爸爸正在看书。
The boy is sleeping. | 男孩正在睡觉。
## 能力 Can / can't | 1f3ca
I can swim. | 我会游泳。
He can't fly. | 他不会飞。
She can sing. | 她会唱歌。
## 喜好 Like + ing | 1f3ae
My brother likes playing. | 我哥哥喜欢玩。
I like reading. | 我喜欢读书。
She likes eating. | 她喜欢吃。
## 所有格 Possessive 's | 1f9f8
This is Tom's teddy. | 这是汤姆的泰迪熊。
This is my father's book. | 这是我爸爸的书。
My mother's phone is red. | 我妈妈的手机是红色的。
